Pattern,Explanation,Example Sentence,Example Translation,Additional Notes,Pitfalls
動詞連用形＋合[あ]う,表示雙方「互相做某動作」，常見於表示互相作用的關係，例如對話、幫助、理解等。<br><br>🧠 文法解析：<br><ul><li><div><b>そのことは</b></div><ul><li><div><b>そのこと</b>：指示代名詞「その」+ 名詞「こと」，意思是「那件事」。</div></li><li><div><b>は</b>：提示助詞，用來設定話題，「關於那件事...」。</div></li></ul></li><li><div><b>鈴木[すずき]さんと</b></div><ul><li><div><b>鈴木[すずき]さん</b>：名詞，「鈴木先生/小姐」。</div></li><li><div><b>と</b>：格助詞，在這裡表示<b>共同動作的對象</b>。中文翻譯為「和...、跟...」。</div></li></ul></li><li><div><b>話[はな]し 合[あ]いましょう。</b></div><ul><li><div><b>話[はな]し 合[あ]いましょう</b>：動詞「<b>話[はな]し 合[あ]う</b>」（商量）的<b>ましょう形</b>（禮貌勸誘形）。</div></li><li><div>說明：這是一個複合動詞，由「<b>話[はな]す</b>」（說）+「<b>合[あ]う</b>」（互相）組合而成。</div></li></ul></li></ul><br><br>📘 動詞補充（以「 話[はな]し 合[あ]う」為例 → <b>五段動詞</b>）<br><table><tbody><tr><td>變化</td><td>動詞普通形</td><td>說明</td></tr><tr><td>肯定（現在・未來）</td><td>話[はな]し 合[あ]う</td><td>商量</td></tr><tr><td>否定</td><td>話[はな]し 合[あ]わない</td><td>不商量</td></tr><tr><td>過去</td><td>話[はな]し 合[あ]った</td><td>商量了</td></tr><tr><td>過去否定</td><td>話[はな]し 合[あ]わなかった</td><td>沒商量</td></tr><tr><td>て形</td><td>話[はな]し 合[あ]って</td><td>商量（後）</td></tr><tr><td><b>意向形</b></td><td><b>話[はな]し 合[あ]おう</b></td><td><b>商量吧 (本句使用禮貌體 話し合いましょう)</b></td></tr></tbody></table>,そのことは 鈴木[すずき]さんと 話[はな]し 合[あ]いましょう。,關於那件事，我們跟鈴木先生討論一下吧。（＝互相交換意見）<br><br>🧾 單字速記：<br><ul><li><b>そのこと</b>：那件事</li><li><b>鈴木[すずき]さん</b>：鈴木先生/小姐</li><li><b>と</b>：和...（共同對象）</li><li><b>話[はな]し 合[あ]う</b>：互相討論、商量</li></ul>,「話し合う」是「話す」的複合動詞形式，表示雙方有來有往的討論。可搭配「ましょう」表示提案。<br><br>📝 語感補充：<br><ul><li><b>相似文法對比</b><ul><li><b>話[はな]し 合[あ]う</b>：雙向溝通，強調「互相交換意見」。</li><li><b>話[はな]す</b>：單向說話，不一定有互動。</li><li><b>相談[そうだん]する</b>：帶有「尋求建議或解決方案」的目的，比「話し合う」更具體。</li></ul></li><li><b>使用場景</b>：常用於需要達成共識的場合，如會議、討論、協商等。氣氛比「相談する」更平等。</li></ul>,❌ 誤解單方動作：× 鈴木さんと話しました（僅單向）
動詞連用形＋合[あ]う,表示雙方情感的互動，強調彼此之間的愛意或感情交流。<br><br>🧠 文法解析：<br><ul><li><div><b>あの 二人[ふたり]は</b></div><ul><li><div><b>あの</b>：連体詞，意思是「那個」。</div></li><li><div><b>二人[ふたり]</b>：名詞，「兩個人」。</div></li><li><div><b>は</b>：提示助詞，用來設定話題，「那兩個人...」。</div></li></ul></li><li><div><b>愛[あい]し 合[あ]っています。</b></div><ul><li><div><b>愛[あい]し 合[あ]って</b>：動詞「<b>愛[あい]し 合[あ]う</b>」（互相愛戀）的<b>て形</b>。</div></li><li><div><b>います</b>：「いる」的禮貌體，與て形結合成「〜ています」，表示<b>正在進行的動作或持續的狀態</b>。這裡指「一直互相愛戀著」的狀態。</div></li></ul></li></ul><br><br>📘 動詞補充（以「 愛[あい]し 合[あ]う」為例 → <b>五段動詞</b>）<br><table><tbody><tr><td>變化</td><td>動詞普通形</td><td>說明</td></tr><tr><td>肯定（現在・未來）</td><td>愛[あい]し 合[あ]う</td><td>互相愛戀</td></tr><tr><td>否定</td><td>愛[あい]し 合[あ]わない</td><td>不互相愛戀</td></tr><tr><td>過去</td><td>愛[あい]し 合[あ]った</td><td>互相愛戀了</td></tr><tr><td>過去否定</td><td>愛[あい]し 合[あ]わなかった</td><td>沒互相愛戀</td></tr><tr><td><b>て形</b></td><td><b>愛[あい]し 合[あ]って</b></td><td><b>互相愛戀（後）(本句使用ています表示狀態持續)</b></td></tr><tr><td>意向形</td><td>愛[あい]し 合[あ]おう</td><td>互相愛戀吧</td></tr></tbody></table>,あの 二人[ふたり]は 愛[あい]し 合[あ]っています。,那兩個人互相相愛。<br><br>🧾 單字速記：<br><ul><li><b>あの</b>：那個</li><li><b>二人[ふたり]</b>：兩個人</li><li><b>愛[あい]し 合[あ]う</b>：互相愛戀</li><li><b>〜ています</b>：(狀態)著</li></ul>,「愛し合う」是雙方都付出情感的表現，語感比單純「愛している」更深層、互動性強。<br><br>📝 語感補充：<br><ul><li><b>相似文法對比</b><ul><li><b>愛[あい]し 合[あ]う</b>：雙向的愛，強調「彼此」都愛著對方。</li><li><b>愛[あい]している</b>：單向的愛，表示「我愛你/他」，不保證對方有相同情感。</li></ul></li><li><b>使用場景</b>：用於描述情侶、夫妻之間確認彼此相愛的情況。語氣充滿肯定和溫情。</li></ul>,❌ 語意錯誤：× 愛しています（不保證對方也愛）
動詞連用形＋合[あ]う,表示群體或他人間「互相讓步」的行為。<br><br>🧠 文法解析：<br><ul><li><div><b>電車[でんしゃ]の 中[なか]では</b></div><ul><li><div><b>電車[でんしゃ]の 中[なか]</b>：名詞，「電車裡」。</div></li><li><div><b>で</b>：格助詞，表示<b>動作發生的場所</b>。</div></li><li><div><b>は</b>：提示助詞，用來強調或對比該場所。</div></li></ul></li><li><div><b>席[せき]を</b></div><ul><li><div><b>席[せき]</b>：名詞，「座位」。</div></li><li><div><b>を</b>：格助詞，表示<b>動作的對象（受詞）</b>，這裡指被讓出的東西。</div></li></ul></li><li><div><b>譲[ゆず]り 合[あ]っています。</b></div><ul><li><div><b>譲[ゆず]り 合[あ]って</b>：動詞「<b>譲[ゆず]り 合[あ]う</b>」（互相禮讓）的<b>て形</b>。</div></li><li><div><b>います</b>：「いる」的禮貌體，與て形結合成「〜ています」，表示<b>習慣性的動作或持續的狀態</b>。</div></li></ul></li></ul><br><br>📘 動詞補充（以「 譲[ゆず]り 合[あ]う」為例 → <b>五段動詞</b>）<br><table><tbody><tr><td>變化</td><td>動詞普通形</td><td>說明</td></tr><tr><td>肯定（現在・未來）</td><td>譲[ゆず]り 合[あ]う</td><td>互相禮讓</td></tr><tr><td>否定</td><td>譲[ゆず]り 合[あ]わない</td><td>不互相禮讓</td></tr><tr><td>過去</td><td>譲[ゆず]り 合[あ]った</td><td>互相禮讓了</td></tr><tr><td>過去否定</td><td>譲[ゆず]り 合[あ]わなかった</td><td>沒互相禮讓</td></tr><tr><td><b>て形</b></td><td><b>譲[ゆず]り 合[あ]って</b></td><td><b>互相禮讓（後）(本句使用ています表示習慣)</b></td></tr><tr><td>意向形</td><td>譲[ゆず]り 合[あ]おう</td><td>互相禮讓吧</td></tr></tbody></table>,電車[でんしゃ]の 中[なか]では 席[せき]を 譲[ゆず]り 合[あ]っています。,在電車裡大家互相讓座。<br><br>🧾 單字速記：<br><ul><li><b>電車[でんしゃ]</b>：電車</li><li><b>中[なか]</b>：裡面</li><li><b>席[せき]</b>：座位</li><li><b>譲[ゆず]り 合[あ]う</b>：互相禮讓</li></ul>,表現公共場合中的禮讓、互相體貼等人際互動，是「ゆずる（讓）」的互動式表達。<br><br>📝 語感補充：<br><ul><li><b>相似文法對比</b><ul><li><b>譲[ゆず]り 合[あ]う</b>：雙向的、發生在群體間的「互相」禮讓。</li><li><b>譲[ゆず]る</b>：單向的「讓出」，例如「我讓座給老人」。</li></ul></li><li><b>使用場景</b>：描述在公共交通、排隊等場合，人們為了整體和諧而互相體諒的行為。這是一種社會美德的體現。</li></ul>,❌ 單向表述：× 席をゆずっています（沒有表達「互相」）
（動詞連用形）＋合[あ]う,表示「互相～」「彼此～」的雙向行為，雙方共同參與而非單方面動作。<br><br>🧠 文法解析：<br><ul><li><div><b>その件[けん]は</b></div><ul><li><div><b>件[けん]</b>：名詞，「事件、事情」。</div></li><li><div><b>は</b>：提示助詞，設定話題。</div></li></ul></li><li><div><b>みんなで</b></div><ul><li><div><b>みんな</b>：名詞，「大家」。</div></li><li><div><b>で</b>：格助詞，表示<b>執行動作的主體範圍或團體</b>，「大家一起」。</div></li></ul></li><li><div><b>話[はな]し合[あ]って</b></div><ul><li><div><b>話[はな]し合[あ]って</b>：動詞「<b>話[はな]し合[あ]う</b>」（商量）的<b>て形</b>。</div></li><li><div><b>、</b>（逗號）：て形在這裡用來連接兩個動詞，表示<b>動作的先後順序</b>，「商量之後，再做下一個動作」。</div></li></ul></li><li><div><b>決[き]めましょう。</b></div><ul><li><div><b>決[き]めましょう</b>：動詞「<b>決[き]める</b>」（決定）的<b>ましょう形</b>（禮貌勸誘形）。</div></li></ul></li></ul><br><br>📘 動詞補充（以「 話[はな]し合[あ]う」為例 → <b>五段動詞</b>）<br><table><tbody><tr><td>變化</td><td>動詞普通形</td><td>說明</td></tr><tr><td>肯定（現在・未來）</td><td>話[はな]し 合[あ]う</td><td>商量</td></tr><tr><td>否定</td><td>話[はな]し 合[あ]わない</td><td>不商量</td></tr><tr><td>過去</td><td>話[はな]し 合[あ]った</td><td>商量了</td></tr><tr><td>過去否定</td><td>話[はな]し 合[あ]わなかった</td><td>沒商量</td></tr><tr><td><b>て形</b></td><td><b>話[はな]し 合[あ]って</b></td><td><b>商量（後）</b></td></tr><tr><td>意向形</td><td>話[はな]し 合[あ]おう</td><td>商量吧</td></tr></tbody></table><br><br>📘 動詞補充（以「 決[き]める」為例 → <b>下一段動詞</b>）<br><table><tbody><tr><td>變化</td><td>動詞普通形</td><td>說明</td></tr><tr><td>肯定（現在・未來）</td><td>決[き]める</td><td>決定</td></tr><tr><td>否定</td><td>決[き]めない</td><td>不決定</td></tr><tr><td>過去</td><td>決[き]めた</td><td>決定了</td></tr><tr><td>過去否定</td><td>決[き]めなかった</td><td>沒決定</td></tr><tr><td>て形</td><td>決[き]めて</td><td>決定（後）</td></tr><tr><td><b>意向形</b></td><td><b>決[き]めよう</b></td><td><b>決定吧 (本句使用禮貌體 決めましょう)</b></td></tr></tbody></table>,その件[けん]は みんなで 話[はな]し合[あ]って 決[き]めましょう。,那件事大家一起討論決定吧！<br><br>🧾 單字速記：<br><ul><li><b>件[けん]</b>：事件、事情</li><li><b>みんな</b>：大家</li><li><b>で</b>：表示團體，「一起」</li><li><b>話[はな]し合[あ]う</b>：互相討論</li><li><b>決[き]める</b>：決定</li></ul>,「話[はな]します」＋「合[あ]う」→「話[はな]し合[あ]う」表示「互相討論」。語感上是「交換意見」而非單方說話。常用於工作會議、協商場合。<br><br>📝 語感補充：<br><ul><li><b>文法結構</b>：動詞て形 + 動詞，表示連續的動作。例如「食べて寝る」（吃完就睡）。本句的「話し合って決める」就是「討論完再決定」。</li><li><b>使用場景</b>：這是在會議或團體活動中提案、引導結論時非常自然的說法。</li></ul>,❌ 單向誤用：× 話します（僅表示「說」）❌ 助詞誤用：× みんなに話し合います（應用「で」或「と」）
（動詞連用形）＋合[あ]う,表示彼此互相幫助、支援，常見於勸勉或團結語境。<br><br>🧠 文法解析：<br><ul><li><div><b>お互[たが]いに</b></div><ul><li><div><b>お互[たが]いに</b>：副詞，意思是「互相地」。在這裡用來強調動作的雙向性。</div></li></ul></li><li><div><b>助[たす]け合[あ]いましょう。</b></div><ul><li><div><b>助[たす]け合[あ]いましょう</b>：動詞「<b>助[たす]け合[あ]う</b>」（互相幫助）的<b>ましょう形</b>（禮貌勸誘形）。</div></li><li><div>說明：由「<b>助[たす]ける</b>」（幫助）+「<b>合[あ]う</b>」（互相）組合而成。</div></li></ul></li></ul><br><br>📘 動詞補充（以「 助[たす]け合[あ]う」為例 → <b>五段動詞</b>）<br><table><tbody><tr><td>變化</td><td>動詞普通形</td><td>說明</td></tr><tr><td>肯定（現在・未來）</td><td>助[たす]け 合[あ]う</td><td>互相幫助</td></tr><tr><td>否定</td><td>助[たす]け 合[あ]わない</td><td>不互相幫助</td></tr><tr><td>過去</td><td>助[たす]け 合[あ]った</td><td>互相幫助了</td></tr><tr><td>過去否定</td><td>助[たす]け 合[あ]わなかった</td><td>沒互相幫助</td></tr><tr><td>て形</td><td>助[たす]け 合[あ]って</td><td>互相幫助（後）</td></tr><tr><td><b>意向形</b></td><td><b>助[たす]け 合[あ]おう</b></td><td><b>互相幫助吧 (本句使用禮貌體 助け合いましょう)</b></td></tr></tbody></table>,お互[たが]いに 助[たす]け合[あ]いましょう。,大家互相幫助吧！<br><br>🧾 單字速記：<br><ul><li><b>お互[たが]いに</b>：互相地</li><li><b>助[たす]け合[あ]う</b>：互相幫助</li></ul>,「助[たす]け合[あ]う」＝互相幫助。「お互[たが]いに」是「互相」的強調詞，常與此句型搭配使用。例：「困[こま]ったときは 助[たす]け合[あ]うことが 大切[たいせつ]です。」<br><br>📝 語感補充：<br><ul><li><b>強調用法</b>：「お互いに」這個詞雖然可以省略，但加上後能更明確地表達「雙方」的語氣，使句子更完整。</li><li><b>使用場景</b>：常用於團隊合作、災害互助、朋友之間互相鼓勵等需要團結的場合，傳達溫暖和積極的能量。</li></ul>,❌ 強調詞誤省略：× 助け合いましょう（雖正確但語氣略弱）❌ 語氣不合：× 助けてください（單方向請求）
（動詞連用形）＋合[あ]う,表示互相動作，多為對抗、競爭或衝突性行為。<br><br>🧠 文法解析：<br><ul><li><div><b>きのう</b></div><ul><li><div><b>きのう</b>：名詞，「昨天」。</div></li></ul></li><li><div><b>太郎[たろう]と</b></div><ul><li><div><b>太郎[たろう]</b>：人名，「太郎」。</div></li><li><div><b>と</b>：格助詞，表示<b>共同動作或對抗的對象</b>，「和太郎」。</div></li></ul></li><li><div><b>殴[なぐ]り合[あ]いの けんか</b></div><ul><li><div><b>殴[なぐ]り合[あ]い</b>：名詞，由動詞「<b>殴[なぐ]り合[あ]う</b>」（互毆）的名詞化形式（連用形）而來。</div></li><li><div><b>の</b>：格助詞，連接兩個名詞，表示「互毆的架」。</div></li><li><div><b>けんか</b>：名詞，「吵架、打架」。</div></li></ul></li><li><div><b>を した。</b></div><ul><li><div><b>を</b>：格助詞，標示動作「する」的對象。</div></li><li><div><b>した</b>：動詞「<b>する</b>」（做）的<b>た形</b>（過去式）。「けんかをした」是「打架了」的固定用法。</div></li></ul></li></ul><br><br>📘 動詞補充（以「 殴[なぐ]り合[あ]う」為例 → <b>五段動詞</b>）<br><table><tbody><tr><td>變化</td><td>動詞普通形</td><td>說明</td></tr><tr><td>肯定（現在・未來）</td><td>殴[なぐ]り 合[あ]う</td><td>互毆</td></tr><tr><td>否定</td><td>殴[なぐ]り 合[あ]わない</td><td>不互毆</td></tr><tr><td>過去</td><td>殴[なぐ]り 合[あ]った</td><td>互毆了</td></tr><tr><td>過去否定</td><td>殴[なぐ]り 合[あ]わなかった</td><td>沒互毆</td></tr><tr><td>て形</td><td>殴[なぐ]り 合[あ]って</td><td>互毆（後）</td></tr><tr><td>意向形</td><td>殴[なぐ]り 合[あ]おう</td><td>互毆吧</td></tr></tbody></table><br><br>📘 動詞補充（以「 する」為例 → <b>サ變動詞</b>）<br><table><tbody><tr><td>變化</td><td>動詞普通形</td><td>說明</td></tr><tr><td>肯定（現在・未來）</td><td>する</td><td>做</td></tr><tr><td>否定</td><td>しない</td><td>不做</td></tr><tr><td><b>過去</b></td><td><b>した</b></td><td><b>做了</b></td></tr><tr><td>過去否定</td><td>しなかった</td><td>沒做</td></tr><tr><td>て形</td><td>して</td><td>做（後）</td></tr><tr><td>意向形</td><td>しよう</td><td>做吧</td></tr></tbody></table>,きのう 太郎[たろう]と 殴[なぐ]り合[あ]いの けんかを した。,昨天和太郎打架互毆。<br><br>🧾 單字速記：<br><ul><li><b>きのう</b>：昨天</li><li><b>太郎[たろう]</b>：太郎</li><li><b>殴[なぐ]り合[あ]い</b>：互毆</li><li><b>けんか</b>：打架、吵架</li><li><b>する</b>：做</li></ul>,「殴[なぐ]る」＝打人，加上「合[あ]う」→「殴[なぐ]り合[あ]う」表示雙方都有出手。「〜のけんか」是名詞化用法。<br><br>📝 語感補充：<br><ul><li><b>名詞化用法</b>：「動詞連用形」本身可以當作名詞使用，例如本句的「殴り合い」。其他例子：「話し合い」（討論）、「付き合い」（交往）。</li><li><b>使用場景</b>：描述雙方發生肢體衝突或激烈對抗的行為。除了打架，也可以用於激烈的競賽，例如「一位を争って競り合う」（為爭奪第一而激烈競爭）。</li></ul>,❌ 誤用單方動作：× 太郎を殴りました（僅指自己打對方）❌ 語義誤會：「殴り合う」必為雙方互毆，不能用於比喻談判等場合
（動詞連用形）＋上[あ]がる,表示「動作自然完成／結果自然發生」，屬於自動詞用法。常譯為「～好了」「完成了」。<br><br>🧠 文法解析：<br><ul><li><div><b>ご飯[はん]が</b></div><ul><li><div><b>ご飯[はん]</b>：名詞，「飯」。</div></li><li><div><b>が</b>：格助詞，標示主語。</div></li></ul></li><li><div><b>炊[た]き上[あ]がりました。</b></div><ul><li><div><b>炊[た]き上[あ]がりました</b>：動詞「<b>炊[た]き上[あ]がる</b>」（飯煮好）的<b>ました形</b>（禮貌體過去式）。</div></li><li><div>說明：由「<b>炊[た]く</b>」（煮飯）+「<b>上[あ]がる</b>」（完成）組合而成，是自動詞。</div></li></ul></li></ul><br><br>📘 動詞補充（以「 炊[た]き上[あ]がる」為例 → <b>五段動詞</b>）<br><table><tbody><tr><td>變化</td><td>動詞普通形</td><td>說明</td></tr><tr><td>肯定（現在・未來）</td><td>炊[た]き上[あ]がる</td><td>煮好</td></tr><tr><td>否定</td><td>炊[た]き上[あ]がらない</td><td>沒煮好</td></tr><tr><td><b>過去</b></td><td><b>炊[た]き上[あ]がった</b></td><td><b>煮好了 (本句使用禮貌體 炊き上がりました)</b></td></tr><tr><td>過去否定</td><td>炊[た]き上[あ]がらなかった</td><td>沒煮好過</td></tr><tr><td>て形</td><td>炊[た]き上[あ]がって</td><td>煮好（後）</td></tr><tr><td>意向形</td><td>炊[た]き上[あ]がろう</td><td>煮好吧</td></tr></tbody></table>,ご飯[はん]が 炊[た]き上[あ]がりました。,飯煮好了。<br><br>🧾 單字速記：<br><ul><li><b>ご飯[はん]</b>：飯</li><li><b>炊[た]き上[あ]がる</b>：煮好、完成</li></ul>,「炊[た]く」（煮飯）＋「上[あ]がる」→「炊[た]き上[あ]がる」表示飯自然煮熟的狀態。強調結果自然達成、非人為操作。<br><br>📝 語感補充：<br><ul><li><b>自他動詞對比</b><ul><li><b>炊[た]き上[あ]がる (自動詞)</b>：飯自己煮好了 (ご飯が炊き上がる)。主語是飯。</li><li><b>炊[た]き上[あ]げる (他動詞)</b>：我把飯煮好了 (ご飯を炊き上げる)。主語是人。</li></ul></li><li><b>使用場景</b>：常用於料理、烘焙等食物準備完成的場合。例如「パンが焼き上がった」（麵包烤好了）。</li></ul>,❌ 語態錯誤：× 炊き上げました（變成他動詞）❌ 語意誤解：「上がる」不是指「向上」，而是「完成」之意
（動詞連用形）＋上[あ]げる,表示「主動完成動作」，屬於他動詞用法。強調「做完」「完成」的動作。<br><br>🧠 文法解析：<br><ul><li><div><b>やっと</b></div><ul><li><div><b>やっと</b>：副詞，「終於、好不容易」。</div></li></ul></li><li><div><b>レポートを</b></div><ul><li><div><b>レポート</b>：名詞，「報告」。</div></li><li><div><b>を</b>：格助詞，標示他動詞「書き上げる」的對象（受詞）。</div></li></ul></li><li><div><b>書[か]き上[あ]げました。</b></div><ul><li><div><b>書[か]き上[あ]げました</b>：動詞「<b>書[か]き上[あ]げる</b>」（寫完）的<b>ました形</b>（禮貌體過去式）。</div></li><li><div>說明：由「<b>書[か]く</b>」（寫）+「<b>上[あ]げる</b>」（完成）組合而成，是強調「徹底完成」的他動詞。</div></li></ul></li></ul><br><br>📘 動詞補充（以「 書[か]き上[あ]げる」為例 → <b>下一段動詞</b>）<br><table><tbody><tr><td>變化</td><td>動詞普通形</td><td>說明</td></tr><tr><td>肯定（現在・未來）</td><td>書[か]き上[あ]げる</td><td>寫完</td></tr><tr><td>否定</td><td>書[か]き上[あ]げない</td><td>不寫完</td></tr><tr><td><b>過去</b></td><td><b>書[か]き上[あ]げた</b></td><td><b>寫完了 (本句使用禮貌體 書き上げました)</b></td></tr><tr><td>過去否定</td><td>書[か]き上[あ]げなかった</td><td>沒寫完過</td></tr><tr><td>て形</td><td>書[か]き上[あ]げて</td><td>寫完（後）</td></tr><tr><td>意向形</td><td>書[か]き上[あ]げよう</td><td>寫完吧</td></tr></tbody></table>,やっと レポートを 書[か]き上[あ]げました。,終於把報告寫完了。<br><br>🧾 單字速記：<br><ul><li><b>やっと</b>：終於</li><li><b>レポート</b>：報告</li><li><b>書[か]き上[あ]げる</b>：寫完、完成</li></ul>,「書[か]く」（寫）＋「上[あ]げる」→「書[か]き上[あ]げる」表示「把東西寫完」。語感上含努力達成的成就感。<br><br>📝 語感補充：<br><ul><li><b>自他動詞對比</b><ul><li><b>書[か]き上[あ]げる (他動詞)</b>：(人) 把 (報告) 寫完 (レポートを書き上げる)。</div></li><li><b>書[か]き上[あ]がる (自動詞)</b>：(報告) 被完成了 (レポートが書き上がる)。</div></li></ul></li><li><b>使用場景</b>：強調經過一番努力後，最終將某個作品（如報告、小說、畫作）完成的成就感。</li></ul>,❌ 自他混用：× レポートが書き上がりました（應是他動詞主語）❌ 用法錯誤：× 書きました（只表寫，無「完成」語感）
（でき）＋上[あ]がる,表示「完全做好、完成」，多用於作品、料理、建築等。<br><br>🧠 文法解析：<br><ul><li><div><b>注文[ちゅうもん]した スーツが</b></div><ul><li><div><b>注文[ちゅうもん]した</b>：動詞「する」的過去式，修飾後面的名詞，「訂購的」。</div></li><li><div><b>スーツ</b>：名詞，「西裝」。</div></li><li><div><b>が</b>：格助詞，標示主語。</div></li></ul></li><li><div><b>でき上[あ]がりました。</b></div><ul><li><div><b>でき上[あ]がりました</b>：動詞「<b>でき上[あ]がる</b>」（完成）的<b>ました形</b>（禮貌體過去式）。</div></li><li><div>說明：由「<b>できる</b>」（完成）+「<b>上[あ]がる</b>」（完成）組合而成，是自動詞，強調「成果完美地呈現出來」。</div></li></ul></li></ul><br><br>📘 動詞補充（以「 でき上[あ]がる」為例 → <b>五段動詞</b>）<br><table><tbody><tr><td>變化</td><td>動詞普通形</td><td>說明</td></tr><tr><td>肯定（現在・未來）</td><td>でき上[あ]がる</td><td>完成</td></tr><tr><td>否定</td><td>でき上[あ]がらない</td><td>不完成</td></tr><tr><td><b>過去</b></td><td><b>でき上[あ]がった</b></td><td><b>完成了 (本句使用禮貌體 でき上がりました)</b></td></tr><tr><td>過去否定</td><td>でき上[あ]がらなかった</td><td>沒完成過</td></tr><tr><td>て形</td><td>でき上[あ]がって</td><td>完成（後）</td></tr><tr><td>意向形</td><td>でき上[あ]がろう</td><td>完成吧</td></tr></tbody></table>,注文[ちゅうもん]した スーツが でき上[あ]がりました。,訂做的西裝完成了。<br><br>🧾 單字速記：<br><ul><li><b>注文[ちゅうもん]する</b>：訂購</li><li><b>スーツ</b>：西裝</li><li><b>でき上[あ]がる</b>：完成</li></ul>,「でき上[あ]がる」＝「完成、做好」，由「できる」＋「上がる」構成，屬自動詞，強調結果完成。<br><br>📝 語感補充：<br><ul><li><b>語感差異</b><ul><li><b>でき上[あ]がる</b>：強調「作品、物品」等經過製作後，最終完成了。帶有成果的展示感。</li><li><b>できる</b>：可以表示「完成」，但更常用於表示「能夠、會」。</li><li><b>完成[かんせい]する</b>：語氣較正式、書面語。常用於大型計畫或藝術品。</li></ul></li><li><b>使用場景</b>：常用於訂製的物品、料理、建築物等完成時。</li></ul>,❌ 混用誤詞：× できました（僅表示「可以」或「完成」，語感不如「でき上がる」具體）❌ 語氣過重：× でき上げました（不存在的形態）
（でき）＋上[あ]がる,表示「經過努力或時間後自然完成」，屬於自動詞用法。強調「成果已經完成」。<br><br>🧠 文法解析：<br><ul><li><div><b>マフラーを 編[あ]み始[はじ]めたが、</b></div><ul><li><div><b>マフラーを</b>：名詞「圍巾」+格助詞「を」，表示動作的對象。</div></li><li><div><b>編[あ]み始[はじ]めた</b>：動詞「<b>編[あ]み始[はじ]める</b>」（開始編織）的<b>た形</b>（過去式）。</div></li><li><div><b>が</b>：接續助詞，表示轉折，「雖然...但是...」。</div></li></ul></li><li><div><b>難[むずか]しくて、</b></div><ul><li><div><b>難[むずか]しくて</b>：い形容詞「<b>難しい</b>」（困難的）的<b>て形</b>，表示原因或連接。</div></li></ul></li><li><div><b>1か月かかって</b></div><ul><li><div><b>1か月</b>：時間名詞，「一個月」。</div></li><li><div><b>かかって</b>：動詞「<b>かかる</b>」（花費）的<b>て形</b>，連接動作。</div></li></ul></li><li><div><b>やっと でき上[あ]がった。</b></div><ul><li><div><b>やっと</b>：副詞，「終於」。</div></li><li><div><b>でき上[あ]がった</b>：動詞「<b>でき上[あ]がる</b>」（完成）的<b>た形</b>（過去式）。</div></li></ul></li></ul><br><br>📘 動詞補充（以「 でき上[あ]がる」為例 → <b>五段動詞</b>）<br><table><tbody><tr><td>變化</td><td>動詞普通形</td><td>說明</td></tr><tr><td>肯定（現在・未來）</td><td>でき上[あ]がる</td><td>完成</td></tr><tr><td>否定</td><td>でき上[あ]がらない</td><td>不完成</td></tr><tr><td><b>過去</b></td><td><b>でき上[あ]がった</b></td><td><b>完成了</b></td></tr><tr><td>過去否定</td><td>でき上[あ]がらなかった</td><td>沒完成過</td></tr><tr><td>て形</td><td>でき上[あ]がって</td><td>完成（後）</td></tr><tr><td>意向形</td><td>でき上[あ]がろう</td><td>完成吧</td></tr></tbody></table>,マフラーを 編[あ]み始[はじ]めたが、難[むずか]しくて、1か月かかって やっと でき上[あ]がった。,開始織圍巾，但很難，花了一個月終於完成了。<br><br>🧾 單字速記：<br><ul><li><b>マフラー</b>：圍巾</li><li><b>編[あ]み始[はじ]める</b>：開始編織</li><li><b>難[むずか]しい</b>：困難的</li><li><b>かかる</b>：花費（時間、金錢）</li><li><b>やっと</b>：終於</li><li><b>でき上[あ]がる</b>：完成</li></ul>,「でき上[あ]がる」＝完成。語感上強調「歷經努力與時間後自然達成的結果」。常見於作品、料理等完成後的狀態。<br><br>📝 語感補充：<br><ul><li><b>多重て形連接</b>：本句使用多個て形（難しくて、かかって）來連接一連串的事件或原因，是日語中非常常見的敘事方式，可以讓句子流暢地表達因果或時間順序。</li><li><b>使用場景</b>：描述一個耗時較長、或經過一番波折後才完成的項目，帶有「千呼萬喚始出來」的語感。</li></ul>,❌ 用法誤混：× でき上げた（錯誤形態）❌ 混用他動詞：× マフラーをでき上げました（「でき上がる」為自動詞）
