Pattern,Explanation,Example Sentence,Example Translation,Additional Notes,Pitfalls
い形容詞語幹＋がる,表示「他人表現出某種感情或態度」，說話者客觀描述他人感受。<br><br>🧠 文法解析：<br><ul><li><div><b> 息子[むすこ]は</b></div><ul><li><div><b> 息子[むすこ]</b>：名詞，「兒子」。</div></li></ul></li><li><div><b> お風呂[ふろ]に 入[はい]るのを</b></div><ul><li><div><b> お風呂[ふろ]</b>：洗澡。</div></li><li><div><b> 入[はい]る</b>：進入。</div></li><li><div><b>の</b>：名詞化助詞。</div></li></ul></li><li><div><b> 嫌[いや]がる。</b></div><ul><li><div><b> 嫌[いや]</b>：い形容詞「嫌い」的語幹（或相關情感詞）。</div></li><li><div><b>〜がる</b>：接尾詞，表示「（他人）顯現出...的樣子」。</div></li></ul></li></ul><br><br>📘 動詞補充（以「  嫌[いや]がる」為例 → <b>五段動詞</b>）<br><table><tbody><tr><td>變化</td><td>動詞普通形</td><td>說明</td></tr><tr><td>肯定（現在・未來）</td><td> 嫌[いや]がる</td><td>討厭</td></tr><tr><td>否定</td><td> 嫌[いや]がらない</td><td>不討厭</td></tr><tr><td>過去</td><td> 嫌[いや]がった</td><td>討厭了</td></tr><tr><td>過去否定</td><td> 嫌[いや]がらなかった</td><td>沒討厭過</td></tr><tr><td>て形</td><td> 嫌[いや]がって</td><td>討厭（後）</td></tr><tr><td>意向形</td><td> 嫌[いや]がろう</td><td>討厭吧</td></tr></tbody></table>,息子[むすこ]は お風呂[ふろ]に 入[はい]るのを 嫌[いや]がる。,我兒子不喜歡洗澡。<br><br>🧾 單字速記：<br><ul><li><b> 息子[むすこ]</b>：兒子</li><li><b> お風呂[ふろ]に 入[はい]る</b>：洗澡</li><li><b> 嫌[いや]がる</b>：顯現出討厭的樣子</li></ul>,「嫌がる」＝表現出「討厭」的樣子，說話者不是當事人。<br><br>📝 語感補充：<br><ul><li><b>第三人稱的觀察</b>：日語中對於「感情」或「慾望」的描述，通常只能用於第一人稱。若要描述他人的感受，必須透過「〜がる」來表達從外部觀察到的跡象。</li><li><b>使用場景</b>：描述家人、寵物、小孩的喜惡。</li></ul>,❌ 誤用「嫌です」→ 說自己感受；不能說「彼は嫌です」。
い形容詞語幹＋がる,表示他人感到害羞、恐懼、喜悅等情緒。<br><br>🧠 文法解析：<br><ul><li><div><b> あの 友達[ともだち]の 人[ひと]は</b></div><ul><li><div><b> 友達</b>：朋友。</div></li></ul></li><li><div><b> 転[ころ]んで、</b></div><ul><li><div><b> 転[ころ]ぶ</b>：動詞，「跌倒」。</div></li><li><div><b>て形</b>：連接原因。</div></li></ul></li><li><div><b> 恥[は]ずかしがっています。</b></div><ul><li><div><b> 恥[は]ずかしい</b>：害羞、丟臉。</div></li><li><div><b>〜がる</b>：表現出。</div></li><li><div><b>〜ている</b>：正在（狀態）。</div></li></ul></li></ul><br><br>📘 動詞補充（以「  転[ころ]ぶ」為例 → <b>五段動詞</b>）<br><table><tbody><tr><td>變化</td><td>動詞普通形</td><td>說明</td></tr><tr><td>肯定（現在・未來）</td><td> 転[ころ]ぶ</td><td>跌倒</td></tr><tr><td>否定</td><td> 転[ころ]ばない</td><td>不跌倒</td></tr><tr><td>過去</td><td> 転[ころ]んだ</td><td>跌倒了</td></tr><tr><td>過去否定</td><td> 転[ころ]ばなかった</td><td>沒跌倒過</td></tr><tr><td><b>て形</b></td><td><b> 転[ころ]んで</b></td><td><b>跌倒（後）</b></td></tr><tr><td>意向形</td><td> 転[ころ]ぼう</td><td>跌倒吧</td></tr></table><br><br>📘 動詞補充（以「  恥[は]ずかしがる」為例 → <b>五段動詞</b>）<br><table><tbody><tr><td>變化</td><td>動詞普通形</td><td>說明</td></tr><tr><td>肯定（現在・未來）</td><td> 恥[は]ずかしがる</td><td>害羞</td></tr><tr><td>否定</td><td> 恥[は]ずかしがらない</td><td>不害羞</td></tr><tr><td>過去</td><td> 恥[は]ずかしがった</td><td>害羞了</td></tr><tr><td>過去否定</td><td> 恥[は]ずかしがらなかった</td><td>沒害羞過</td></tr><tr><td><b>て形</b></td><td><b> 恥[は]ずかしがって</b></td><td><b>害羞（後） (本句使用 恥ずかしがっています)</b></td></tr><tr><td>意向形</td><td> 恥[は]ずかしがろう</td><td>害羞吧</td></tr></table>,あの 友達[ともだち]の 人[ひと]は 転[ころ]んで、 恥[は]ずかしがっています。,那個朋友跌倒了，覺得很害羞。<br><br>🧾 單字速記：<br><ul><li><b> 転[ころ]ぶ</b>：跌倒</li><li><b> 恥[は]ずかしがる</b>：顯現出害羞</li></ul>,「〜がっている」＝現在持續狀態（看起來正在…）。<br><br>📝 語感補充：<br><ul><li><b>情感的具象化</b>：當朋友臉紅、低下頭或做出躲避動作時，我們用「恥ずかしがっている」來描述這些動作背後的羞恥感。</li><li><b>使用場景</b>：觀察他人的尷尬時刻、描述某人的性格特徵。</li></ul>,❌ 誤用「恥ずかしいです」→ 是自己害羞時用。
な形容詞語幹＋がる,「不思議（ふしぎ）」等感情性名詞＋がる → 表他人「覺得～」。<br><br>🧠 文法解析：<br><ul><li><div><b> 日本[にほん]に 来[き]た 外國人[がいこくじん]が</b></div><ul><li><div><b> 外國人[がいこくじん]</b>：外國人。</div></li></ul></li><li><div><b> 不思議[ふしぎ]がる ものは</b></div><ul><li><div><b> 不思議[ふしぎ]</b>：な形容詞，「神奇、不可思議」。</div></li><li><div><b>〜がる</b>：覺得。</div></li><li><div><b> もの</b>：東西、事情。</div></li></ul></li><li><div><b> ありますか。</b></div><ul><li><div><b> ある</b>：有。</div></li></ul></li></ul><br><br>📘 動詞補充（以「  不思議[ふしぎ]がる」為例 → <b>五段動詞</b>）<br><table><tbody><tr><td>變化</td><td>動詞普通形</td><td>說明</td></tr><tr><td>肯定（現在・未來）</td><td> 不思議[ふしぎ]がる</td><td>覺得神奇</td></tr><tr><td>否定</td><td> 不思議[ふしぎ]がらない</td><td>不覺得神奇</td></tr><tr><td>過去</td><td> 不思議[ふしぎ]がった</td><td>覺得神奇了</td></tr><tr><td>過去否定</td><td> 不思議[ふしぎ]がらなかった</td><td>沒覺得神奇過</td></tr><tr><td>て形</td><td> 不思議[ふしぎ]がって</td><td>覺得神奇（後）</td></tr><tr><td>意向形</td><td> 不思議[ふしぎ]がろう</td><td>覺得神奇吧</td></tr></table>,日本[にほん]に 来[き]た 外国人[がいこくじん]が 不思議[ふしぎ]がる ものは ありますか。,來到日本的外國人，有覺得奇怪的事嗎？<br><br>🧾 單字速記：<br><ul><li><b> 不思議[ふしぎ]がる</b>：覺得不可思議</li></ul>,「不思議がる」＝覺得奇怪。此型常用於第三人稱觀察。<br><br>📝 語感補充：<br><ul><li><b>認知差異的描述</b>：當他人對某事表現出困惑或驚訝時，使用此語法來描述對方的心理反應。</li><li><b>使用場景</b>：文化調查、社會分析、分享見聞。</li></ul>,❌ 誤解：「不思議です」＝主觀感受；「不思議がる」＝外部觀察。
い形容詞語幹＋がらないで,用於勸導他人不要表現出某情緒。<br><br>🧠 文法解析：<br><ul><li><div><b> スピーチの 時[とき]は、</b></div><ul><li><div><b> スピーチ</b>：演講。</div></li></ul></li><li><div><b> 恥[は]ずかし がらないで、</b></div><ul><li><div><b> 恥[は]ずかしい</b>：害羞。</div></li><li><div><b>〜がらない</b>：不表現出。</div></li><li><div><b>〜で</b>：否定中斷/請求。</div></li></ul></li><li><div><b> 大[おお]きな 声[こえ]で 話[はな]して ください。</b></div><ul><li><div><b> 話[はな]す</b>：說。</div></li></ul></li></ul><br><br>📘 動詞補充（以「  話[はな]す」為例 → <b>五段動詞</b>）<br><table><tbody><tr><td>變化</td><td>動詞普通形</td><td>說明</td></tr><tr><td>肯定（現在・未來）</td><td> 話[はな]す</td><td>說</td></tr><tr><td>否定</td><td> 話[はな]さない</td><td>不說</td></tr><tr><td>過去</td><td> 話[はな]した</td><td>說了</td></tr><tr><td>過去否定</td><td> 話[はな]さなかった</td><td>沒說過</td></tr><tr><td><b>て形</b></td><td><b> 話[はな]して</b></td><td><b>說（後）</b></td></tr><tr><td>意向形</td><td> 話[はな]おう</td><td>說吧</td></tr></table>,スピーチの 時[とき]は、 恥[は]ずかしがらないで、 大[おお]きな 声[こえ]で 話[はな]して ください。,發表演講時不要害羞，要大聲講。<br><br>🧾 單字速記：<br><ul><li><b> 恥[は]ずかしがらないで</b>：不要害羞</li><li><b> 大[おお]きな 声[こえ]</b>：大聲</li></ul>,「〜加わらないで」是勸說語氣的否定命令形。<br><br>📝 語感補充：<br><ul><li><b>正向的鼓勵</b>：針對對方可能表現出的負面或膽怯情緒（如害羞、害怕），給予明確的指示，要求對方「不要被這些情緒主導」。</li><li><b>使用場景</b>：指導練習、上台前的叮嚀、安慰。</li></ul>,❌ 誤用「恥ずかしくないで」→ 不自然。
い形容詞語幹＋がって,用於表示某人因感情而立刻採取動作。<br><br>🧠 文法解析：<br><ul><li><div><b> 弟[おとうと]は</b></div><ul><li><div><b> 弟[おとうと]</b>：弟弟。</div></li></ul></li></li><li><div><b> 大好[だいす]きな 犬[いぬ]を 見[み]て、</b></div><ul><li><div><b> 見[み]る</b>：看。</div></li></ul></li></li><li><div><b> 喜[よろこ]びがって</b></div><ul><li><div><b> 喜[よろこ]ぶ</b>：喜悅。</div></li><li><div><b>〜がる</b>：表現出。</div></li><li><div><b>て形</b>：連接動作。</div></li></ul></li></li><li><div><b> 走[はし]り 出[だ]した。</b></div><ul><li><div><b> 走[はし]り出す</b>：跑出去。</div></li></ul></li></li></ul><br><br>📘 動詞補充（以「  喜[よろこ]びがる」為例 → <b>五段動詞</b>）<br><table><tbody><tr><td>變化</td><td>動詞普通形</td><td>說明</td></tr><tr><td>肯定（現在・未來）</td><td> 喜[よろこ]びがる</td><td>顯現喜悅</td></tr><tr><td>否定</td><td> 喜[よろこ]びがらない</td><td>不顯現喜悅</td></tr><tr><td>過去</td><td> 喜[よろこ]びがった</td><td>顯現喜悅了</td></tr><tr><td>過去否定</td><td> 喜[よろこ]びがらなかった</td><td>沒顯現喜悅過</td></tr><tr><td><b>て形</b></td><td><b> 喜[よろこ]びがって</b></td><td><b>顯現喜悅（後）</b></td></tr><tr><td>意向形</td><td> 喜[よろこ]びがろう</td><td>顯現喜悅吧</td></tr></tbody></table>,弟[おとうと]は 大好[だいす]きな 犬[いぬ]を 見[み]て、 喜[よろこ]びがって 走[はし]り出[だ]した。,弟弟看到最喜歡的狗，高興地跑了出去。<br><br>🧾 單字速記：<br><ul><li><b> 喜[よろこ]びがって</b>：顯現很高興的樣子</li><li><b> 走[はし]り出[だ]す</b>：跑出去</li></ul>,「〜がって（連用形）」常與動作動詞連用。<br><br>📝 語感補充：<br><ul><li><b>動作的動力源</b>：強調弟弟「奔跑」這個動作，完全是受到強烈喜悅情緒的驅使。這種用法比單純的副詞（喜んで）更具描寫力。</li><li><b>使用場景</b>：生動地描述故事、觀察紀錄。</li></ul>,❌ 誤用「喜んで走った」語氣不同，「喜びがって」更生動。
い形容詞語幹＋がる,表示第三人稱的情緒反應。<br><br>🧠 文法解析：<br><ul><li><div><b> 妹[いもうと]は</b></div><ul><li><div><b> 妹[いもうと]</b>：名詞，「妹妹」。</div></li></ul></li><li><div><b> 母[はは]が いなく なると、</b></div><ul><li><div><b> 母[はは]</b>：母親。</div></li><li><div><b>いなく なる</b>：不在了、消失了。</div></li><li><div><b>と</b>：接續助詞，表示假定或必然結果。</div></li></ul></li><li><div><b> 寂[さび]しがります。</b></div><ul><li><div><b> 寂[さび]しい</b>：寂寞、冷清。</div></li><li><div><b>〜がる</b>：表現出。</div></li></ul></li></ul><br><br>📘 動詞補充（以「  寂[さび]しがる」為例 → <b>五段動詞</b>）<br><table><tbody><tr><td>變化</td><td>動詞普通形</td><td>說明</td></tr><tr><td>肯定（現在・未來）</td><td> 寂[さび]しがる</td><td>顯現寂寞</td></tr><tr><td>否定</td><td> 寂[さび]しがらない</td><td>不顯現寂寞</td></tr><tr><td>過去</td><td> 寂[さび]しがった</td><td>顯現寂寞了</td></tr><tr><td>過去否定</td><td> 寂[さび]しがらなかった</td><td>沒顯現寂寞過</td></tr><tr><td>て形</td><td> 寂[さび]しがって</td><td>顯現寂寞（後）</td></tr><tr><td>意向形</td><td> 寂[さび]しがろう</td><td>顯現寂寞吧</td></tr></tbody></table>,妹[いもうと]は 母[はは]が いなくなると、 寂[さび]しがります。,妹妹只要媽媽不在，就會感到寂寞。<br><br>🧾 單字速記：<br><ul><li><b> 寂[さび]しがる</b>：顯現寂寞</li></ul>,「寂しがる」＝他人表現出寂寞樣。<br><br>📝 語感補充：<br><ul><li><b>對他人的共情</b>：不僅是描述外觀，更包含了說話者對妹妹內心世界的體察與同理心。</li><li><b>使用場景</b>：家庭瑣事分享、描述某人的依賴性。</li></ul>,❌ 誤用「寂しいです」描述他人感覺。
動詞ます形語幹＋たがる,表示第三人稱「想要～」的願望，由外部觀察其行為得出。<br><br>🧠 文法解析：<br><ul><li><div><b> 子どもは</b></div><ul><li><div><b> 子ども</b>：小孩。</div></li></ul></li><li><div><b> アイスクリームを</b></div><ul><li><div><b> アイスクリーム</b>：冰淇淋。</div></li></ul></li><li><div><b> 食[た]べたがります。</b></div><ul><li><div><b> 食[た]べる</b>：吃。</div></li><li><div><b>〜たい</b>：想。</div></li><li><div><b>〜たがる</b>：(他人)想要。</div></li></ul></li></ul><br><br>📘 動詞補充（以「  食[た]べる」為例 → <b>下一段動詞</b>）<br><table><tbody><tr><td>變化</td><td>動詞普通形</td><td>說明</td></tr><tr><td>肯定（現在・未來）</td><td> 食[た]べる</td><td>吃</td></tr><tr><td>否定</td><td> 食[た]べない</td><td>不吃</td></tr><tr><td>過去</td><td> 食[た]べた</td><td>吃了</td></tr><tr><td>過去否定</td><td> 食[た]べなかった</td><td>沒吃過</td></tr><tr><td>て形</td><td> 食[た]べて</td><td>吃（後）</td></tr><tr><td><b>意向形</b></td><td><b> 食[た]べたがる</b></td><td><b>想要吃 (本句使用 食べたがります)</b></td></tr></tbody></table>,子どもは アイスクリームを 食[た]べたがります。,小孩總是想吃冰淇淋。<br><br>🧾 單字速記：<br><ul><li><b> アイスクリーム</b>：冰淇淋</li><li><b> 食[た]べたがる</b>：想吃(第三人稱)</li></ul>,說話者不能用來表達自己的願望。<br><br>📝 語感補充：<br><ul><li><b>慾望的外部顯現</b>：與「〜たい」專屬於自己不同，「〜たがる」強調從對方的動作、眼神中看出了對某物的渴求。</li><li><b>使用場景</b>：描述孩子、動物或一般大眾的普遍慾望。</li></ul>,❌ 我想吃冰：× 食べたがる → ○ 食べたい
動詞ます形語幹＋たがっている,表示某人「現在很想～」「似乎很想～」。<br><br>🧠 文法解析：<br><ul><li><div><b> 娘[むすめ]は</b></div><ul><li><div><b> 娘[むすめ]</b>：女兒。</div></li></ul></li><li><div><b> スマホを</b></div><ul><li><div><b> スマホ</b>：手機。</div></li></ul></li><li><div><b> 買[か]いたがっています。</b></div><ul><li><div><b> 買[か]う</b>：動詞，「買」。</div></li><li><div><b> 買[か]いたい</b>：想買。</div></li><li><div><b> 買[か]いたがる</b>：表現出想買。</div></li><li><div><b> 買[か]いたがっている</b>：正表現出想買（狀態）。</div></li></ul></li></ul><br><br>📘 動詞補充（以「  買[か]う」為例 → <b>五段動詞</b>）<br><table><tbody><tr><td>變化</td><td>動詞普通形</td><td>說明</td></tr><tr><td>肯定（現在・未來）</td><td> 買[か]う</td><td>買</td></tr><tr><td>否定</td><td> 買[か]わない</td><td>不買</td></tr><tr><td>過去</td><td> 買[か]った</td><td>買了</td></tr><tr><td>過去否定</td><td> 買[か]わなかった</td><td>沒買過</td></tr><tr><td>て形</td><td> 買[か]って</td><td>買（後）</td></tr><tr><td><b>意向形</b></td><td><b> 買[か]いたがっている</b></td><td><b>正想要買</b></td></tr></tbody></table>,娘[むすめ]は スマホを 買[か]いたがっています。,女兒似乎很想買手機。<br><br>🧾 單字速記：<br><ul><li><b> 買[か]いたがっている</b>：正想要買(第三人稱)</li></ul>,「〜たがっている」表示現階段的狀態或傾向。<br><br>📝 語感補充：<br><ul><li><b>持續性的渴望</b>：透過「〜ている」形式，描述一種並非一時、而是目前持續存在且明顯的願望。</li><li><b>使用場景</b>：討論某人的購買清單、觀察某人的持續行為。</li></ul>,❌ 誤用「買いたいと思っています」語氣較直接不同。
動詞ます形語幹＋たがっている,表示他人自發性的願望、期待或企圖。<br><br>🧠 文法解析：<br><ul><li><div><b> 弟[おとうと]は</b></div><ul><li><div><b> 弟[おとうと]</b>：弟弟。</div></li></ul></li><li><div><b> 動物園[どうぶつえん]へ</b></div><ul><li><div><b> 動物園[どうぶつえん]</b>：動物園。</div></li></ul></li><li><div><b> 行[い]きたがっています。</b></div><ul><li><div><b> 行[い]く</b>：去。</div></li><li><div><b> 行[い]きたい</b>：想去。</div></li><li><div><b> 行[い]きたがる</b>：表現出想去。</div></li></ul></li></ul><br><br>📘 動詞補充（以「  行[い]く」為例 → <b>五段動詞</b>）<br><table><tbody><tr><td>變化</td><td>動詞普通形</td><td>說明</td></tr><tr><td>肯定（現在・未來）</td><td> 行[い]く</td><td>去</td></tr><tr><td>否定</td><td> 行[い]かない</td><td>不去</td></tr><tr><td>過去</td><td> 行[い]った</td><td>去了</td></tr><tr><td>過去否定</td><td> 行[い]かなかった</td><td>沒去過</td></tr><tr><td>て形</td><td> 行[い]って</td><td>去（後）</td></tr><tr><td><b>意向形</b></td><td><b> 行[い]きたがっている</b></td><td><b>正想要去</b></td></tr></tbody></table>,弟[おとうと]は 動物園[どうぶつえん]へ 行[い]きたがっています。,弟弟很想去動物園。<br><br>🧾 單字速記：<br><ul><li><b> 行[い]きたがっている</b>：正想要去</li></ul>,適合描述兒童、家人、動物等可觀察行為者。<br><br>📝 語感補充：<br><ul><li><b>明顯的興致</b>：描述對象（弟弟）可能已經多次提到、或是正在吵著要去，這種外顯的熱切感。</li><li><b>使用場景</b>：旅遊計畫討論、描述某人的愛好。</li></ul>,❌ 不用於抽象主題（× 日本に住みたがる法律）。
動詞ます形語幹＋たがる,「不想～」「不願意～」的第三人稱表現。<br><br>🧠 文法解析：<br><ul><li><div><b> あの 子は</b></div><ul><li><div><b> 子</b>：孩子。</div></li></ul></li><li><div><b> 学校[가쿠코]に</b></div><ul><li><div><b> 学校[がっこう]</b>：學校。</div></li></ul></li><li><div><b> 行[い]きたがらない。</b></div><ul><li><div><b> 行[い]く</b>：去。</div></li><li><div><b> 行[い]きたい</b>：想去。</div></li><li><div><b> 行[い]きたがる</b>：表現想去。</div></li><li><div><b> 行[い]きたがらない</b>：不表現想去（＝不想去）。</div></li></ul></li></ul><br><br>📘 動詞補充（以「  行[い]く」為例 → <b>五段動詞</b>）<br><table><tbody><tr><td>變化</td><td>動詞普通形</td><td>說明</td></tr><tr><td>肯定（現在・未來）</td><td> 行[い]く</td><td>去</td></tr><tr><td>否定</td><td> 行[い]かない</td><td>不去</td></tr><tr><td>過去</td><td> 行[い]った</td><td>去了</td></tr><tr><td>過去否定</td><td> 行[い]かなかった</td><td>沒去過</td></tr><tr><td>て形</td><td> 行[い]って</td><td>去（後）</td></tr><tr><td><b>意向形</b></td><td><b> 行[い]きたがらない</b></td><td><b>不想要去</b></td></tr></table>,あの子は 学校[がっこう]に 行[い]きたがらない。,那孩子不太想去上學。<br><br>🧾 單字速記：<br><ul><li><b> 行[い]きたがらない</b>：不想去(第三人稱)</li></ul>,表示想法的否定傾向。<br><br>📝 語感補充：<br><ul><li><b>消極的反抗</b>：不僅是單純不去，還包含了一種「表現出抗拒的心態」。語氣中常帶有一種對現狀的擔憂。</li><li><b>使用場景</b>：輔導諮商、家庭問題討論、描述某人的排斥反應。</li></ul>,❌ 誤用「行きたくないようです」語氣不同。
